Tutorials,,,,,
,Breaking Limits on JavaScript for Mobile HTML5 - Maximiliano Firtman - Part 1,"With iOS 6, Chrome, and IE10 we can now push the limits of JavaScript and HTML5 APIs. Lots of APIs are out there. However, not everything is similar to desktop: performance, background code and storage needs a review. This session will give you an overview of what you need to know, including labs testing on your own phone on progressive enhancement, feature detection and HTML5 APIs.",42 minutes,378 MB  ,http://mediaservice.mirror-image.com/videos/3e124dc8bf8e5/assets/5811894/file.mp4
,Breaking Limits on JavaScript for Mobile HTML5 - Maximiliano Firtman - Part 2,"With iOS 6, Chrome, and IE10 we can now push the limits of JavaScript and HTML5 APIs. Lots of APIs are out there. However, not everything is similar to desktop: performance, background code and storage needs a review. This session will give you an overview of what you need to know, including labs testing on your own phone on progressive enhancement, feature detection and HTML5 APIs.",44 minutes,396 MB  ,http://mediaservice.mirror-image.com/videos/45acc2139a430/assets/5811916/file.mp4
,Breaking Limits on JavaScript for Mobile HTML5 - Maximiliano Firtman - Part 3,"With iOS 6, Chrome, and IE10 we can now push the limits of JavaScript and HTML5 APIs. Lots of APIs are out there. However, not everything is similar to desktop: performance, background code and storage needs a review. This session will give you an overview of what you need to know, including labs testing on your own phone on progressive enhancement, feature detection and HTML5 APIs.",1 hour 29 minutes,801 MB  ,http://mediaservice.mirror-image.com/videos/2454c94a617d1/assets/5811774/file.mp4
,Breaking Limits on JavaScript for Mobile HTML5 - Maximiliano Firtman - Part 4,"With iOS 6, Chrome, and IE10 we can now push the limits of JavaScript and HTML5 APIs. Lots of APIs are out there. However, not everything is similar to desktop: performance, background code and storage needs a review. This session will give you an overview of what you need to know, including labs testing on your own phone on progressive enhancement, feature detection and HTML5 APIs.",45 minutes,402 MB  ,http://mediaservice.mirror-image.com/videos/183c71bde8086/assets/5812044/file.mp4
,Building Faster Websites: Crash Course on Web Performance - Ilya Grigorik - Part 1,"How does the network, and network type affect web performance? How does the browser layout the page, and why do we have rules such as place CSS at the top? What are the HTML5 optimizations that can help us improve the user experience? How do we identify layout optimizations? GPU acceleration? How do we optimize our JavaScript code? What are some other tools that can assist us on our quest to build faster web apps? In this workshop, well tackle all of the above, and more, in detail. Well dive into Chrome Dev Tools, explore the new W3C performance specs and what they can offer, and investigate several case studies to illustrate the common performance pitfalls. By the end of the tutorial, youll be able to shave several seconds off your page load time easy.",37 minutes,335 MB  ,http://mediaservice.mirror-image.com/videos/23c09a8cea2ac/assets/5812294/file.mp4
,Building Faster Websites: Crash Course on Web Performance - Ilya Grigorik - Part 2,"How does the network, and network type affect web performance? How does the browser layout the page, and why do we have rules such as place CSS at the top? What are the HTML5 optimizations that can help us improve the user experience? How do we identify layout optimizations? GPU acceleration? How do we optimize our JavaScript code? What are some other tools that can assist us on our quest to build faster web apps? In this workshop, well tackle all of the above, and more, in detail. Well dive into Chrome Dev Tools, explore the new W3C performance specs and what they can offer, and investigate several case studies to illustrate the common performance pitfalls. By the end of the tutorial, youll be able to shave several seconds off your page load time easy.",49 minutes,441 MB  ,http://mediaservice.mirror-image.com/videos/956ca4821a32b/assets/5812152/file.mp4
,Building Faster Websites: Crash Course on Web Performance - Ilya Grigorik - Part 3,"How does the network, and network type affect web performance? How does the browser layout the page, and why do we have rules such as place CSS at the top? What are the HTML5 optimizations that can help us improve the user experience? How do we identify layout optimizations? GPU acceleration? How do we optimize our JavaScript code? What are some other tools that can assist us on our quest to build faster web apps? In this workshop, well tackle all of the above, and more, in detail. Well dive into Chrome Dev Tools, explore the new W3C performance specs and what they can offer, and investigate several case studies to illustrate the common performance pitfalls. By the end of the tutorial, youll be able to shave several seconds off your page load time easy.",41 minutes,366 MB  ,http://mediaservice.mirror-image.com/videos/8d96d85af92cd/assets/5812365/file.mp4
,Building Faster Websites: Crash Course on Web Performance - Ilya Grigorik - Part 4,"How does the network, and network type affect web performance? How does the browser layout the page, and why do we have rules such as place CSS at the top? What are the HTML5 optimizations that can help us improve the user experience? How do we identify layout optimizations? GPU acceleration? How do we optimize our JavaScript code? What are some other tools that can assist us on our quest to build faster web apps? In this workshop, well tackle all of the above, and more, in detail. Well dive into Chrome Dev Tools, explore the new W3C performance specs and what they can offer, and investigate several case studies to illustrate the common performance pitfalls. By the end of the tutorial, youll be able to shave several seconds off your page load time easy.",48 minutes,429 MB  ,http://mediaservice.mirror-image.com/videos/0108259e667f7/assets/5812463/file.mp4
,Advanced jQuery Techniques - Elijah Manor - Part 1,Join appendTo's Elijah Manor for a dive into advanced topics surrounding the front-end with jQuery.,38 minutes,344 MB  ,http://mediaservice.mirror-image.com/videos/4fd100871a56e/assets/5812072/file.mp4
,Advanced jQuery Techniques - Elijah Manor - Part 2,Join appendTo's Elijah Manor for a dive into advanced topics surrounding the front-end with jQuery.,38 minutes,341 MB  ,http://mediaservice.mirror-image.com/videos/115b57d94fb77/assets/5811994/file.mp4
,Advanced jQuery Techniques - Elijah Manor - Part 3,Join appendTo's Elijah Manor for a dive into advanced topics surrounding the front-end with jQuery.,48 minutes,433 MB  ,http://mediaservice.mirror-image.com/videos/60a42b4c18db0/assets/5811568/file.mp4
,Advanced jQuery Techniques - Elijah Manor - Part 4,Join appendTo's Elijah Manor for a dive into advanced topics surrounding the front-end with jQuery.,48 minutes,428 MB  ,http://mediaservice.mirror-image.com/videos/4b1cadb37087f/assets/5811959/file.mp4
,Introduction to Twitter Bootstrap - Jen Kramer - Part 1,"Learn one of the hottest front-end frameworks and incorporate it into your work tomorrow. Follow along and learn how to build a Bootstrap-based website from scratch, incorporating the responsive grid system, see the basic CSS in action, incorporate Javascript-based components, and customize CSS using LESS. Bootstrap, an open source front-end framework, is one of the most popular front-end frameworks for building responsive websites. In this workshop, Jen Kramer will demonstrate how to use Bootstrap as a foundation in your next web design project. In this hands-on workshop, she will lead you in: Downloading Bootstrap and incorporating it into an HTML document Working with the Bootstrap responsive grid system Exploring Bootstraps core CSS, overriding this CSS using standard CSS techniques Incorporating Bootstraps image formatting elements and icons Creating and styling interactive menus with Bootstrap, including dropdown menus Incorporating jQuery plugins with Bootstrap, including alerts, modal windows, image carousels, accordion windows, and more Customizing Bootstrap using CSS LESS",41 minutes,371 MB  ,http://mediaservice.mirror-image.com/videos/5277643ab55e4/assets/5813427/file.mp4
,Introduction to Twitter Bootstrap - Jen Kramer - Part 2,"Learn one of the hottest front-end frameworks and incorporate it into your work tomorrow. Follow along and learn how to build a Bootstrap-based website from scratch, incorporating the responsive grid system, see the basic CSS in action, incorporate Javascript-based components, and customize CSS using LESS. Bootstrap, an open source front-end framework, is one of the most popular front-end frameworks for building responsive websites. In this workshop, Jen Kramer will demonstrate how to use Bootstrap as a foundation in your next web design project. In this hands-on workshop, she will lead you in: Downloading Bootstrap and incorporating it into an HTML document Working with the Bootstrap responsive grid system Exploring Bootstraps core CSS, overriding this CSS using standard CSS techniques Incorporating Bootstraps image formatting elements and icons Creating and styling interactive menus with Bootstrap, including dropdown menus Incorporating jQuery plugins with Bootstrap, including alerts, modal windows, image carousels, accordion windows, and more Customizing Bootstrap using CSS LESS",35 minutes,315 MB  ,http://mediaservice.mirror-image.com/videos/894b65967cc7a/assets/5813402/file.mp4
,Introduction to Twitter Bootstrap - Jen Kramer - Part 3,"Learn one of the hottest front-end frameworks and incorporate it into your work tomorrow. Follow along and learn how to build a Bootstrap-based website from scratch, incorporating the responsive grid system, see the basic CSS in action, incorporate Javascript-based components, and customize CSS using LESS. Bootstrap, an open source front-end framework, is one of the most popular front-end frameworks for building responsive websites. In this workshop, Jen Kramer will demonstrate how to use Bootstrap as a foundation in your next web design project. In this hands-on workshop, she will lead you in: Downloading Bootstrap and incorporating it into an HTML document Working with the Bootstrap responsive grid system Exploring Bootstraps core CSS, overriding this CSS using standard CSS techniques Incorporating Bootstraps image formatting elements and icons Creating and styling interactive menus with Bootstrap, including dropdown menus Incorporating jQuery plugins with Bootstrap, including alerts, modal windows, image carousels, accordion windows, and more Customizing Bootstrap using CSS LESS",37 minutes,333 MB  ,http://mediaservice.mirror-image.com/videos/73f835028f931/assets/5813489/file.mp4
,Introduction to Twitter Bootstrap - Jen Kramer - Part 4,"Learn one of the hottest front-end frameworks and incorporate it into your work tomorrow. Follow along and learn how to build a Bootstrap-based website from scratch, incorporating the responsive grid system, see the basic CSS in action, incorporate Javascript-based components, and customize CSS using LESS. Bootstrap, an open source front-end framework, is one of the most popular front-end frameworks for building responsive websites. In this workshop, Jen Kramer will demonstrate how to use Bootstrap as a foundation in your next web design project. In this hands-on workshop, she will lead you in: Downloading Bootstrap and incorporating it into an HTML document Working with the Bootstrap responsive grid system Exploring Bootstraps core CSS, overriding this CSS using standard CSS techniques Incorporating Bootstraps image formatting elements and icons Creating and styling interactive menus with Bootstrap, including dropdown menus Incorporating jQuery plugins with Bootstrap, including alerts, modal windows, image carousels, accordion windows, and more Customizing Bootstrap using CSS LESS",57 minutes,507 MB  ,http://mediaservice.mirror-image.com/videos/9401654d4126e/assets/5813421/file.mp4
,Developing Mobile Applications with PhoneGap - Raymond Camden - Part 1,"In this workshop you will learn how to use the open source PhoneGap framework to create mobile applications using HTML, JavaScript, and CSS.",43 minutes,386 MB  ,http://mediaservice.mirror-image.com/videos/a153718cbf64b/assets/5812346/file.mp4
,Developing Mobile Applications with PhoneGap - Raymond Camden - Part 2,"In this workshop you will learn how to use the open source PhoneGap framework to create mobile applications using HTML, JavaScript, and CSS.",39 minutes,351 MB  ,http://mediaservice.mirror-image.com/videos/b47da1b5ed059/assets/5812533/file.mp4
,Developing Mobile Applications with PhoneGap - Raymond Camden - Part 3,"In this workshop you will learn how to use the open source PhoneGap framework to create mobile applications using HTML, JavaScript, and CSS.",45 minutes,403 MB  ,http://mediaservice.mirror-image.com/videos/e4c22bb8c9e82/assets/5812258/file.mp4
,Developing Mobile Applications with PhoneGap - Raymond Camden - Part 4,"In this workshop you will learn how to use the open source PhoneGap framework to create mobile applications using HTML, JavaScript, and CSS.",43 minutes,383 MB  ,http://mediaservice.mirror-image.com/videos/ff63ba7c5bfe0/assets/5812389/file.mp4
